term,x_value,x_preprocessed,axis_scale,score,lower_bound,upper_bound,transformation_note
term_months,42.0,0.0009296721282500697,original_cleaned_units,-0.18754870869299162,-0.18858374350241522,-0.18651367388356802,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
term_months,54.0,1.1562506572571003,original_cleaned_units,0.5638554167982003,0.5607436385943656,0.566967195002035,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
acc_open_past_24mths,0.18920711500272108,-2.3869392730553085,original_cleaned_units,-0.3874326246875093,-0.39553450564664794,-0.3793307437283706,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
acc_open_past_24mths,0.8612097182041991,-1.6061310460668339,original_cleaned_units,-0.3100385204621169,-0.3215218411237925,-0.29855519980044126,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
acc_open_past_24mths,1.912950630243941,-0.8253228190783592,original_cleaned_units,-0.22698694957757318,-0.23033001107581866,-0.2236438880793277,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
acc_open_past_24mths,2.9359793425308607,-0.30065871832543445,original_cleaned_units,-0.10812612898373554,-0.11054352940773035,-0.10570872855974073,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
acc_open_past_24mths,3.9492320038397652,0.0986400458490154,original_cleaned_units,-0.013538259567871858,-0.018752046831796845,-0.00832447230394687,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
acc_open_past_24mths,4.957892135528949,0.42195954973547545,original_cleaned_units,0.09324048800111744,0.0900970911344589,0.09638388486777597,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
acc_open_past_24mths,5.964009090454186,0.693951872256569,original_cleaned_units,0.1806941045263775,0.1726443959154494,0.1887438131373056,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
acc_open_past_24mths,6.96856520746051,0.928834349127975,original_cleaned_units,0.23461648429530682,0.2269147830368585,0.24231818555375514,Original count scale after reversing standardisation and log1p; training values were median-imputed and p1-p99 winsorised.
