term,x_value,x_preprocessed,axis_scale,score,lower_bound,upper_bound,transformation_note
term_months,42.0,0.021169070125598377,original_cleaned_units,-0.14921721749507016,-0.15039952717910243,-0.1480349078110379,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
term_months,54.0,1.1903272406798724,original_cleaned_units,0.470077876060595,0.46635325477060124,0.4738024973505887,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,1556.25,-1.4866759176715656,original_cleaned_units,-0.9991989837088996,-1.0799027672978858,-0.9184952001199135,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,1675.0,-1.4729325477879067,original_cleaned_units,-0.99757310489915,-1.0761518450905145,-0.9189943647077854,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,1887.5,-1.4483391490487278,original_cleaned_units,-0.9344024224182363,-0.9934660256282576,-0.8753388192082151,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,2000.0,-1.4353191144221038,original_cleaned_units,-0.5838628972006028,-0.6430040064352822,-0.5247217879659234,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,2100.0,-1.423745750309549,original_cleaned_units,-0.5729096267051839,-0.6249866600860086,-0.5208325933243592,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,2287.5,-1.4020456925985088,original_cleaned_units,-0.5729096267051839,-0.6249866600860086,-0.5208325933243592,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,2400.0,-1.3890256579718847,original_cleaned_units,-0.571784461461807,-0.6250841825568093,-0.5184847403668046,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,2449.999999999998,-1.3832389759156074,original_cleaned_units,-0.5719202593077212,-0.6253568402846315,-0.5184836783308109,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
loan_amnt,2500.0,-1.3774522938593299,original_cleaned_units,-0.5697015943655552,-0.6227817429501448,-0.5166214457809657,Original cleaned units after median imputation and p1-p99 winsorisation; EBM was fitted on the corresponding standardised values.
